ExpressionPattern.pattern	ExpressionPattern.primaryIdentifier	ExpressionPattern.remark	ExpressionPattern.reporterGene	ExpressionPattern.subcellularLocalization	ExpressionPattern.anatomyTerms.name	ExpressionPattern.anatomyTerms.synonym	ExpressionPattern.anatomyTerms.definition	ExpressionPattern.anatomyTerms.primaryIdentifier	ExpressionPattern.genes.symbol	ExpressionPattern.genes.primaryIdentifier	ExpressionPattern.genes.organism.species
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	DVB	lineage name: K.p	Neuron class of one ring interneuron, cell body in dorsorectal ganglion, inervates rectal muscles.      	WBbt:0004822	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	DVC	lineage name: Caapaa	Neuron class of one ring interneuron, cell body in dorsorectal ganglion.      	WBbt:0004821	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	HSNL	lineage name: ABplapppappa	Herm. specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic	WBbt:0004758	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	HSNR	lineage name: ABprapppappa	Herm. specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic	WBbt:0004757	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	M5 neuron	lineage name: MSpaaapap	Neuron class of one pharyngeal motorneuron.      	WBbt:0004465	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	PDB	lineage name: P12.apa	Neuron class of one motor neuron, process in dorsal cord, cell body in pre-anal ganglion.      	WBbt:0004385	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	PVM	lineage name: QL.paa	Neuron class of one neuron, posterior ventral microtuble cell, touch receptor.      	WBbt:0004086	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	RID	lineage name: ABalappaapa	Neuron class of one ring motoneuron, projects along dorsal cord, innervates dorsal body muscle.      	WBbt:0003938	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	excretory cell	excretory canal cell	H-shaped cell associated with the excretory system, largest cell in C. elegans.      	WBbt:0005812	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	inner labial neuron	IL neuron	neuron type, member of a set of 12 neurons of the inner labial sensilla.	WBbt:0005117	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	outer labial neuron	OL neuron	neuron type, set of  six neurons in the outer labial sensillum.	WBbt:0006801	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	uterine muscle	""	muscle lining of the uterine wall.      	WBbt:0005342	kal-1	WBGene00002181	elegans
Expressed in anterior neurons, including AIY, AIZ, RID, M5, ASI, and labial sensory neurons, VNC motorneurons, midbody neurons HSN, CAN, and PVM, tail neurons DVB, DVC, and PDB, and the nonneuronal excretory cell, uterine muscles. -- according to pers. comm. from Oliver Hobert.	Marker49	Picture: N.A.    Reporter gene fusion type not specified.	""	""	ventral cord neuron	ventral cord motoneuron	neuron with cell body associated with the ventral nerve cord.	WBbt:0005300	kal-1	WBGene00002181	elegans
Expressed in descendants of intestinal cells.	Marker25	Picture: Figure 3B.	""	""	intestine	gut	A chain of very large cuboidal cells forming a wide central lumen in which food arrives from the posterior pharynx, is digested, and from which waste products proceed to the rectum.  Intestinal rings form in groups of two and four cells surrounding the common lumen; thus the epithelium is only one cell deep at any point, with neighboring cells firmly secured to their neighbors by apical adherens junctions.  These cells have very large nuclei and many large vacuoles, yolk granules, and other inclusions; the latter increase in number and electron density as the animal ages.      	WBbt:0005772	end-3	WBGene00001311	elegans
Expressed in engulfing cells.	Marker40	Picture: N.A.	""	""	engulfing cell	""	cell that engulfs a cell undergoing programmed cell death (PCD, apoptosis).	WBbt:0007803	ced-1	WBGene00000415	elegans
Expressed in intestinal cells.	Marker26	Picture: Figure 3A, 4A.    Reporter gene fusion type not specified.	""	""	intestine	gut	A chain of very large cuboidal cells forming a wide central lumen in which food arrives from the posterior pharynx, is digested, and from which waste products proceed to the rectum.  Intestinal rings form in groups of two and four cells surrounding the common lumen; thus the epithelium is only one cell deep at any point, with neighboring cells firmly secured to their neighbors by apical adherens junctions.  These cells have very large nuclei and many large vacuoles, yolk granules, and other inclusions; the latter increase in number and electron density as the animal ages.      	WBbt:0005772	elt-2	WBGene00001250	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	CEMDL	lineage name: ABplaaaaaap	Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite.	WBbt:0004945	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	CEMDR	lineage name: ABarpapaaap	Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite.	WBbt:0004943	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	CEMVL	lineage name: ABplpaapapp	Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite.	WBbt:0004941	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	CEMVR	lineage name: ABprpaapapp	Male specific cephalic neurons (programmed cell death in hermaphrodite embryo) open to outside, possible function in male chemotaxis toward hermaphrodite.	WBbt:0004939	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	HOB	lineage name: P10.ppap	Neuron class of one male-specific sensory neuron associated with hook sensillum, receptor anterior to cloaca in male.      	WBbt:0004761	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R1AL	lineage name: R1L.aaa	Post-embryonic cell of pedigree V5L.pppppaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004052	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R1AR	lineage name: R1R.aaa	Post-embryonic cell of pedigree V5R.pppppaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004050	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R1BL	lineage name: V5L.pppppapa	Post-embryonic cell of pedigree V5L.pppppapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004048	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R1BR	lineage name: V5R.pppppapa	Post-embryonic cell of pedigree V5R.pppppapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004046	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R2AL	lineage name: R2L.aaa	Post-embryonic cell of pedigree V6L.papapaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004042	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R2AR	lineage name: R2R.aaa	Post-embryonic cell of pedigree V6R.papapaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004041	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R2BL	lineage name: V6L.papapapa	Post-embryonic cell of pedigree V6L.papapapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004040	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R2BR	lineage name: V6R.papapapa	Post-embryonic cell of pedigree V6R.papapapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004039	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R3AL	lineage name: R3L.aaa	Post-embryonic cell of pedigree V6L.papppaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004036	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R3AR	lineage name: V6R.papppaaa	Post-embryonic cell of pedigree V6R.papppaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004035	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R3BL	lineage name: V6L.papppapa	Post-embryonic cell of pedigree V6L.papppapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004034	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R3BR	lineage name: V6R.papppapa	Post-embryonic cell of pedigree V6R.papppapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004033	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R4AL	lineage name: V6L.pppapaaa	Post-embryonic cell of pedigree V6L.pppapaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004030	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R4AR	lineage name: V6R.pppapaaa	Post-embryonic cell of pedigree V6R.pppapaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004029	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R4BL	lineage name: V6L.pppapapa	Post-embryonic cell of pedigree V6L.pppapapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004028	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R4BR	lineage name: V6R.pppapapa	Post-embryonic cell of pedigree V6R.pppapapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004027	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R5AL	R5L.aaa	Post-embryonic cell of pedigree V6L.ppppaaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004024	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R5AR	lineage name: V6R.ppppaaaa	Post-embryonic cell of pedigree V6R.ppppaaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004023	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R5BL	lineage name: V6L.ppppaapa	Post-embryonic cell of pedigree V6L.ppppaapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004022	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R5BR	lineage name: V6R.ppppaapa	Post-embryonic cell of pedigree V6R.ppppaapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004021	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R6AL	lineage name: V6L.pppppaaa	Post-embryonic cell of pedigree V6L.pppppaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004018	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R6AR	lineage name: V6R.pppppaaa	Post-embryonic cell of pedigree V6R.pppppaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004016	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R6BL	lineage name: V6L.pppppapa	Post-embryonic cell of pedigree V6L.pppppapa, male sensory rays, neuron, not darkly staining nor open to outside.	WBbt:0004014	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R6BR	lineage name: V6R.pppppapa	Post-embryonic cell of pedigree V6R.pppppapa, male sensory rays, neuron, not darkly staining nor open to outside.	WBbt:0004012	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R7AL	lineage name: TL.apappaaa	Post-embryonic cell of pedigree TL.apappaaa, male sensory rays, neuron, striated rootlet.	WBbt:0004006	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R7AR	lineage name: TR.apappaaa	Male sensory rays, neuron, striated rootlet	WBbt:0004002	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R7BL	lineage name: TL.apappapa	Post-embryonic cell of pedigree TL.apappapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0004001	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R7BR	lineage name: TR.apappapa	Male sensory rays, neuron, darkly staining tip, open to outside	WBbt:0004000	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R8AL	lineage name: TL.appaaaaa	Post-embryonic cell of pedigree TL.appaaaaa, male sensory rays, neuron, striated rootlet.	WBbt:0003994	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R8AR	lineage name: TR.appaaaaa	Male sensory rays, neuron, striated rootlet	WBbt:0003992	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R8BL	lineage name: TL.appaaapa	Post-embryonic cell of pedigree TL.appaaapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0003990	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R8BR	lineage name: TR.appaaapa	Male sensory rays, neuron, darkly staining tip, open to outside	WBbt:0003988	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R9AL	lineage name: TL.appapaaa	Male sensory rays, neuron, striated rootlet	WBbt:0003971	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R9AR	lineage name: TR.appapaaa	Male sensory rays, neuron, striated rootlet	WBbt:0003970	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R9BL	lineage name: TL.appapapa	Post-embryonic cell of pedigree TL.appapapa, male sensory rays, neuron, darkly staining tip, open to outside.	WBbt:0003968	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	R9BR	lineage name: TR.appapapa	Male sensory rays, neuron, darkly staining tip, open to outside	WBbt:0003966	pkd-2	WBGene00004035	elegans
Expressed in male specific sensory neurons.	Marker27	Picture: Figure 3A.	""	""	nerve ring	circumpharyngeal nerve ring	the most extensive region of neuropil in the animal, consists of a large toroidal bundle of processes.	WBbt:0006749	pkd-2	WBGene00004035	elegans
Expressed in muscles, not expressed in Y cell.	Marker38	Picture: N.A.    Reporter gene fusion type not specified.	""	""	muscle cell	""	Contractile cell that makes up muscle tissue.	WBbt:0003675	myo-3	WBGene00003515	elegans
Expressed in only a subset of distal body wall muscles(BWM) and therefore enables the clear visualization of individual muscle arms. Expression of Mb::YFP from him-4p in first larval-stage (L1) larvae was limited to four distal BMWs posterior to the neck muscles in each quadrant. As development continued, two more distal BWMs posterior to the initial four in each quadrant also expressed Mb::YFP, albeit at lower levels.	Marker8	BWMs expressing DsRed2 driven from the muscle-specific C26G2.1 promoter showed no differences from Mb::YFP in arm morphology or the number of arms observed with the two different reporters. Therefore Mb::YFP driven from him-4p does not interfere with muscle arm number or morphology and is a useful tool to study muscle membrane extension.    Picture: Figure 1D, 1E, 2A	""	muscle arms	body wall musculature	body muscle	Longitudinal bands of muscle cells surrounding animal body, with one band running in each quadrant of the body, regulated contraction and relaxation of these muscles cause locomotion.	WBbt:0005813	him-4	WBGene00001863	elegans
Expressed in primary fate VPC.	Marker11	Picture: Figure 7A', 7B'.    Reporter gene fusion type not specified.	""	""	P6.p hermaphrodite	""	""	WBbt:0008125	egl-17	WBGene00001185	elegans
Expressed in primary fate VPC.	Marker16	Picture: N.A.    Reporter gene fusion type not specified.	""	""	P7.p hermaphrodite	""	""	WBbt:0008129	egl-17	WBGene00001185	elegans
Expressed in secondary fate VPC.	Marker12	Picture: Figure 7A''. 7B''.    Reporter gene fusion type not specified.	""	""	P5.p hermaphrodite	""	descendent cell of post-embryonic blast cell P5, posterior, in hermaphrodite.	WBbt:0008121	lip-1	WBGene00003043	elegans
Expressed in secondary fate VPC.	Marker12	Picture: Figure 7A''. 7B''.    Reporter gene fusion type not specified.	""	""	P7.p hermaphrodite	""	""	WBbt:0008129	lip-1	WBGene00003043	elegans
Expressed in secondary fate VPC.	Marker17	Picture: N.A.	""	""	P5.p hermaphrodite	""	descendent cell of post-embryonic blast cell P5, posterior, in hermaphrodite.	WBbt:0008121	lin-11	WBGene00003000	elegans
Expressed in secondary fate VPC.	Marker17	Picture: N.A.	""	""	P7.p hermaphrodite	""	""	WBbt:0008129	lin-11	WBGene00003000	elegans
Expressed in tertiary fate VPC.	Marker18	Picture: N.A.	""	""	P3.p hermaphrodite	""	descendent cell of post-embryonic blast cell P3, posterior in hermaphrodite.	WBbt:0008112	acds-10	WBGene00019599	elegans
Expressed in tertiary fate VPC.	Marker18	Picture: N.A.	""	""	P4.p hermaphrodite	""	descendent cell of post-embryonic blast cell P4, posterior, in hermaphrodite.	WBbt:0008117	acds-10	WBGene00019599	elegans
Expressed in tertiary fate VPC.	Marker18	Picture: N.A.	""	""	P8.p hermaphrodite	""	""	WBbt:0008133	acds-10	WBGene00019599	elegans
Expressed in touch receptor neurons.	Marker10	Picture: N.A.	""	""	touch receptor neuron	microtubule cell	neurons that sense body touch, have specialized microtubules in processes.	WBbt:0005237	mec-4	WBGene00003168	elegans
Expresses gfp in all rectal cells and P12.pa.	Marker34	New Anatomy_term: P12.pa.    Picture: N.A.    Reporter gene fusion type not specified.	""	""	rectal epithelium	""	epithelium connecting intestine and anus.      	WBbt:0005800	lin-26	WBGene00003012	elegans
Marker for ADL neurons.	Marker116	""	""	""	ADLL	lineage name: ABalppppaad	Amphid neuron, prob. chemosensory	WBbt:0003997	srb-6	WBGene00005071	elegans
Marker for ADL neurons.	Marker116	""	""	""	ADLR	lineage name: ABpraaapaad	Amphid neuron, prob. chemosensory	WBbt:0003995	srb-6	WBGene00005071	elegans
Marker for AFD cilia	Marker86	Picture:Figure 1L and 1P.    Reporter gene fusion type not specified.	""	""	AFDL	lineage name: ABalpppapav	Amphid finger cell, neuron associated with amphid sheath	WBbt:0003993	gcy-8	WBGene00001535	elegans
Marker for AFD cilia	Marker86	Picture:Figure 1L and 1P.    Reporter gene fusion type not specified.	""	""	AFDR	lineage name: ABpraaaapav	Amphid finger cell, neuron associated with amphid sheath	WBbt:0003991	gcy-8	WBGene00001535	elegans
Marker for AIM and ASI neurons.	Marker112	""	""	""	AIML	lineage name: ABplpaapppa	Ring interneuron	WBbt:0003983	zig-3	WBGene00006980	elegans
Marker for AIM and ASI neurons.	Marker112	""	""	""	AIMR	lineage name: ABprpaapppa	Ring interneuron	WBbt:0003969	zig-3	WBGene00006980	elegans
Marker for AIM and ASI neurons.	Marker112	""	""	""	ASIL	lineage name: ABplaapapppa	one member of amphid neurons, single ciliated ending, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003888	zig-3	WBGene00006980	elegans
Marker for AIM and ASI neurons.	Marker112	""	""	""	ASIR	lineage name: ABpraapapppa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003887	zig-3	WBGene00006980	elegans
Marker for AIY neurons.	Marker109	""	""	""	AIYL	lineage name: ABplpapaaap	Amphid interneuron	WBbt:0003963	ttx-3	WBGene00006654	elegans
Marker for AIY neurons.	Marker109	""	""	""	AIYR	lineage name: ABprpapaaap	Amphid interneuron	WBbt:0003961	ttx-3	WBGene00006654	elegans
Marker for AIZ neurons.	Marker103	""	""	""	AIZL	lineage name: ABplapaaapav	Amphid interneuron	WBbt:0003959	lin-11	WBGene00003000	elegans
Marker for AIZ neurons.	Marker103	""	""	""	AIZR	lineage name: ABprapaaapav	Amphid interneuron	WBbt:0003957	lin-11	WBGene00003000	elegans
Marker for ALN, SDQ neurons.	Marker93	Picture: N.A.	""	""	ALNL	lineage name: ABplapappppap	Neuron associated with ALM	WBbt:0003939	ser-2	WBGene00004777	elegans
Marker for ALN, SDQ neurons.	Marker93	Picture: N.A.	""	""	ALNR	lineage name: ABprapappppap	Neuron associated with ALM	WBbt:0003937	ser-2	WBGene00004777	elegans
Marker for ALN, SDQ neurons.	Marker93	Picture: N.A.	""	""	SDQL	lineage name: QL.pap	Posterior lateral interneuron, process projects into ring	WBbt:0004993	ser-2	WBGene00004777	elegans
Marker for ALN, SDQ neurons.	Marker93	Picture: N.A.	""	""	SDQR	lineage name: QR.pap	Ant. lateral interneuron, process projects into ring	WBbt:0004991	ser-2	WBGene00004777	elegans
Marker for ASEL and ASER neurons.	Marker100	Picture: N.A.	""	""	ASEL	lineage name: ABalppppppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003904	che-1	WBGene00000483	elegans
Marker for ASEL and ASER neurons.	Marker100	Picture: N.A.	""	""	ASER	lineage name: ABpraaapppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003903	che-1	WBGene00000483	elegans
Marker for ASEL and ASER neurons.	Marker101	Picture: N.A.	""	""	ASEL	lineage name: ABalppppppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003904	che-1	WBGene00000483	elegans
Marker for ASEL and ASER neurons.	Marker101	Picture: N.A.	""	""	ASER	lineage name: ABpraaapppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003903	che-1	WBGene00000483	elegans
Marker for ASEL and ASER neurons.	Marker98	Picture: Fig 2A.	""	""	ASEL	lineage name: ABalppppppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003904	ceh-36	WBGene00000457	elegans
Marker for ASEL and ASER neurons.	Marker98	Picture: Fig 2A.	""	""	ASER	lineage name: ABpraaapppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003903	ceh-36	WBGene00000457	elegans
Marker for ASEL and ASER neurons.	Marker99	Picture: Fig 2D, 2E.	""	""	ASEL	lineage name: ABalppppppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003904	osm-6	WBGene00003886	elegans
Marker for ASEL and ASER neurons.	Marker99	Picture: Fig 2D, 2E.	""	""	ASER	lineage name: ABpraaapppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003903	osm-6	WBGene00003886	elegans
Marker for ASEL neuron.	Marker96	Picture: Fig 2A.	""	""	ASEL	lineage name: ABalppppppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003904	lsy-6	WBGene00003088	elegans
Marker for ASER neuron.	Marker97	Picture: Fig 2A.	""	""	ASER	lineage name: ABpraaapppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003903	cog-1	WBGene00000584	elegans
Marker for ASH neurons.	Marker74	Picture: Figure 4E, 4F.    Reporter gene fusion type not specified.	""	""	ASHL	lineage name: ABplpaappaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003890	sra-6	WBGene00005032	elegans
